Period End Date,Month,Calendar Year,Fiscal Year,Malt Beverages: # of Barrels,Malt Beverages: Tax on Barrels,Malt Beverages: # of Gallons,Malt Beverages: Tax on Gallons,Malt Beverages: Total Tax,Cider: # of Barrels,Cider: Tax on Barrels,Cider: # of Gallons,Cider: Tax on Gallons,Cider: Total Tax,Wines under 21% Alcohol from Large Wineries: # of Gallons,Wines under 21% Alcohol from Large Wineries: Tax on Gallons,Wines under 21% Alcohol from Small Wineries: # of Gallons,Wines under 21% Alcohol from Small Wineries: Tax on Gallons,Wines over 21% Alcohol & Sparkling Wines: # of Gallons,Wines over 21% Alcohol & Sparkling Wines: Tax on Gallons,Wines:  Total Tax,Distilled Liquor: # of Gallons,Distilled Liquor:  Tax on Gallons,Liquor Cooler: # of Gallons,Liquor Cooler: Tax on Gallons,Alcohol: # of Proof Gallons,Alcohol: Tax on Proof Gallons,Distilled Spirits: Total Tax,Total Alcoholic Beverages Tax
February 2025,February,2025,FY2025,8919,53514,2455045,491008,544522,193,1529,33987,8839,10368,743339,587251,14332,2864,54957,108827,698942,602641,3579694,136552,370057,6205,36858,3986609,5240441
January 2025,January,2025,FY2025,9290,55738,2367960,473591,529329,168,1331,36023,9366,10697,620241,490012,14182,2826,30527,60450,553288,521553,3098028,128074,347081,6299,37416,3482525,4575839
May 2024,May,2024,FY 2024,12714,76285,4202087,840419,916704,211,1673,47556,12367,14040,992067,783760,26880,5373,86395,171065,960198,763784,4536884,334335,906045,8048,47806,5490735,7381677
April 2024,April,2024,FY 2024,11287,67729,3279914,655985,723714,368,2916,37453,9735,12651,838470,662411,20545,4098,59112,117051,783560,666097,3956621,173463,470084,3274,19447,4446152,5966077
March 2024,March,2024,FY 2024,12133,72800,2926291,585261,658061,375,2971,38118,9913,12884,874752,691067,16216,3238,46774,92615,786920,638567,3793095,144376,391258,3944,23428,4207781,5665646
February 2024,February,2024,FY 2024,10612,63675,2734410,546878,610553,603,4777,34311,8920,13697,824005,650978,14437,2884,57382,113620,767482,675671,4013494,100437,272185,5127,30455,4316134,5707866
January 2024,January,2024,FY 2024,9534,57209,2462675,492535,549744,481,3811,30506,7932,11743,718349,567509,10983,2194,31439,62255,631958,552812,3283711,129114,349896,4345,25811,3659418,4852863
December 2023,December,2023,FY 2024,11392,68360,3550255,710049,778409,370,2932,47911,12456,15388,1080793,853854,19246,3838,134631,266575,1124267,686970,4080604,132796,359878,7150,42470,4482952,6401016
November 2023,November,2023,FY 2024,11957,71747,3485212,697041,768788,412,3266,55562,14444,17710,1084764,856981,29500,5897,109239,216304,1079182,797499,4737145,156687,424621,9353,55557,5217323,7083003
October 2023,October,2023,FY 2024,11868,71217,3320473,664093,735310,485,3841,54155,14080,17921,1050341,829783,33183,6637,75659,149811,986231,792820,4709354,145333,393852,7130,42353,5145559,6885021
September 2023,September,2023,FY 2024,12613,75685,3523444,704689,780374,463,3668,55005,14303,17971,780556,616658,34106,6818,53873,106675,730151,643513,3822471,173183,469327,6290,37363,4329161,5857657
